,name of site,numbertimescited
396,naturalresources.sa.gov,2
397,atsb.gov,2
502,llnl.gov,2
402,netl.doe.gov,2
411,cityofsydney.nsw.gov,2
616,boem.gov,2
263,maine.gov,2
247,waterboards.ca.gov,2
214,blacktown.nsw.gov,2
158,economics.noaa.gov,2
149,drought.gov,2
212,cefas.defra.gov,2
195,ausaid.gov,2
126,nodc.noaa.gov,2
245,hhs.gov,2
144,usna.usda.gov,2
119,oregon.gov,2
125,star.nesdis.noaa.gov,2
233,whitehouse.senate.gov,2
174,dse.vic.gov,2
123,leginfo.ca.gov,2
177,werc.usgs.gov,2
193,dna.gov,2
213,london.gov,2
159,srh.weather.gov,2
192,ncei.noaa.gov,2
217,portlandoregon.gov,2
262,bis.gov,2
216,in.gov,2
261,archives.gov,2
142,official-documents.gov,2
224,ct.gov,2
120,gov.ca.gov,2
255,fpir.noaa.gov,2
494,oge.gov,1
495,oksenate.gov,1
176,coagbushfireenquiry.gov,1
116,baaqmd.gov,1
498,ilga.gov,1
522,foreignaffairs.gov,1
492,usaspending.gov,1
500,coris.noaa.gov,1
501,forte.lanl.gov,1
521,tidesandcurrents.noaa.gov,1
178,ssd.noaa.gov,1
117,sbcounty.gov,1
171,bushfire.nsw.gov,1
520,nwfsc.noaa.gov,1
504,nwstc.noaa.gov,1
516,nwhc.usgs.gov,1
506,moe.gov,1
507,climate.noaa.gov,1
519,fishdept.sabah.gov,1
27,dfid.gov,1
518,habitat.noaa.gov,1
517,floridahealth.gov,1
509,royal.gov,1
510,moh.gov,1
511,securityfence.mod.gov,1
512,mfa.gov,1
513,uscapitolpolice.gov,1
514,sss.gov,1
505,goes-r.gov,1
484,doeni.gov,1
179,royalcommission.vic.gov,1
459,pcrwr.gov,1
467,sasa.gov,1
183,flsenate.gov,1
465,careers.gov,1
464,recovery.gov,1
184,homeaffairs.gov,1
113,fayetteville-ar.gov,1
186,omafra.gov,1
460,ema.gov,1
458,ons.gov,1
180,oehha.ca.gov,1
457,ca10.uscourts.gov,1
456,legalaffairs.as.gov,1
34,opr.ca.gov,1
454,interior.gov,1
453,rbgsyd.nsw.gov,1
452,ars-grin.gov,1
451,deq.virginia.gov,1
450,msa.md.gov,1
114,aqmd.gov,1
469,ncagr.gov,1
470,dpd.cdc.gov,1
471,magazine.noaa.gov,1
488,speaker.gov,1
115,courts.ca.gov,1
486,fort.usgs.gov,1
485,ameslab.gov,1
524,nj.gov,1
483,peacecorps.gov,1
482,dcr.virginia.gov,1
481,sbe.virginia.gov,1
480,governor.virginia.gov,1
33,usgcrp.gov,1
478,gg.gov,1
477,nhi.gov,1
476,austintexas.gov,1
475,nationalatlas.gov,1
474,ibwc.state.gov,1
473,ibwc.gov,1
472,lme.noaa.gov,1
523,edt.gov,1
532,osdpd.noaa.gov,1
525,rertr.anl.gov,1
594,fmprc.gov,1
592,nntt.gov,1
590,ncbj.gov,1
589,kingcounty.gov,1
587,maf.gov,1
586,codot.gov,1
585,tams.act.gov,1
584,planningportal.nsw.gov,1
583,planning.nsw.gov,1
582,nmcp.gov,1
124,zhb.gov,1
579,trc.gov,1
578,crownminerals.gov,1
577,doleta.gov,1
576,eeoc.gov,1
574,og.decc.gov,1
573,scdhec.gov,1
572,publicworks.houstontx.gov,1
593,dpaw.wa.gov,1
595,myagedcare.gov,1
570,pub.gov,1
596,foreignminister.gov,1
139,wcdc.gov,1
614,dwaf.gov,1
613,ret.gov,1
612,abare.gov,1
611,era.wa.gov,1
610,nopsa.gov,1
132,cpc.noaa.gov,1
608,epa.wa.gov,1
607,firb.gov,1
605,mce.gov,1
604,sbb.gov,1
143,oig.doc.gov,1
602,invest.gov,1
600,housing.gov,1
599,paed.uscourts.gov,1
598,waverley.nsw.gov,1
129,waikatoregion.gov,1
571,twdb.texas.gov,1
16,longpaddock.qld.gov,1
527,midsuffolk.gov,1
546,indian.senate.gov,1
166,nparks.gov,1
543,smith.senate.gov,1
542,help.senate.gov,1
541,fsa.usda.gov,1
540,kiribatitourism.gov,1
539,mfed.gov,1
538,commerce.gov,1
537,arl.noaa.gov,1
536,oso.noaa.gov,1
167,nea.gov,1
534,nesdis.noaa.gov,1
168,ura.gov,1
187,eereblogs.energy.gov,1
531,osd.noaa.gov,1
121,dgs.ca.gov,1
23,ccma.vic.gov,1
528,tfl.gov,1
545,agriculture.senate.gov,1
547,democrats.senate.gov,1
568,ofwat.gov,1
548,banking.senate.gov,1
156,ghana.gov,1
157,santabarbaraca.gov,1
160,grc.nasa.gov,1
562,apvma.gov,1
19,qld.gov,1
161,hko.gov,1
164,tillis.senate.gov,1
558,budget.gov,1
557,news.gov,1
556,foodwisehk.gov,1
165,gcis.gov,1
554,ecf.gov,1
20,greenhouse.gov,1
22,melbourne.vic.gov,1
551,der.wa.gov,1
550,legislation.qld.gov,1
549,swrcb.ca.gov,1
449,wcc.nrcs.usda.gov,1
440,nationsreportcard.gov,1
188,cpuc.ca.gov,1
236,health.act.gov,1
330,nysenate.gov,1
329,cdfa.ca.gov,1
328,teias.gov,1
327,tbmm.gov,1
326,ptt.gov,1
325,marmaray.gov,1
324,kgm.gov,1
235,hcourt.gov,1
80,digitalarchives.wa.gov,1
189,glendaleca.gov,1
320,ioi.gov,1
319,turkstat.gov,1
237,acf.hhs.gov,1
